id,univ,prodi,kode,jenjang,kelompok,rumpun_ilmu,prov,itk,keketatan_2025,rataan,point,passing_grade_est,pg_batas_bawah,pg_batas_atas,level,daya_tampung_2026,peminat_2025,mu1,mu2,mu3,mu4,mu5,mu6,mu7,pmu1,pmu2,pmu3,pmu4,pmu5,pmu6,pmu7,ukt1,ukt2,ukt3,ukt4,ukt5,ukt_min,ukt_max
f3d07855-5be0-452f-9b3c-913e053c47a1,UNIVERSITAS MUSAMUS MERAUKE,PERENCANAAN WILAYAH DAN KOTA,19121028,S1,Saintek,Saintek-Teknik,Papua Selatan,414.29,0.2414,472.70,467.30,470,465,475,C3,29,7,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,,,,,,500000.0,15498450.0
f3d4f8ec-7b61-4e7a-bb3c-617bcb444b25,UNIVERSITAS NEGERI SURABAYA,GIZI,13831020,S1,Saintek,Saintek-Kesehatan,Jawa Timur,4.29,23.3167,637.70,632.30,635,630,640,B3,60,1399,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp12,544,538.00","Rp14,217,143.00","Rp16,726,050.00",500000.0,16726050.0
f3e8ad6e-b73d-48cd-bc68-80d3bf1f4bf0,UNIVERSITAS JEMBER,REKAYASA PERANCANGAN MEKANIK,13712070,D4,Saintek,Saintek-Teknik,Jawa Timur,15.63,6.4000,552.70,547.30,550,545,555,B1,30,192,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp12,544,538.00","Rp14,217,143.00","Rp16,726,050.00",500000.0,16726050.0
f3e9622b-3374-4e22-887e-027c992d90da,UNIVERSITAS SUMATERA UTARA,PSIKOLOGI,11211048,S1,Soshum,Saintek-Kesehatan,Sumatera Utara,4.66,21.4500,637.70,632.30,635,630,640,A3,80,1716,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f3ec99b8-88f0-4b3e-a4b9-9964d47cea29,UNIVERSITAS BRAWIJAYA,MANAJEMEN SUMBERDAYA PERAIRAN,13721001,S1,Saintek,Soshum-Ekonomi,Jawa Timur,20.61,4.8519,522.70,517.30,520,515,525,A3,54,262,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f4153764-5466-4964-89d6-332fc7f87299,POLITEKNIK NEGERI JEMBER,PRODUKSI TANAMAN HORTIKULTURA,24723024,D3,Saintek,Saintek-Teknik,Jawa Timur,14.37,6.9583,547.70,542.30,545,540,550,C1,24,167,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,017,808.00","Rp15,886,849.00","Rp18,690,410.00",500000.0,18690410.0
f41bc2e8-e40d-4daf-b86d-6b497e3ff91f,UNIVERSITAS NEGERI SURABAYA,SASTRA INDONESIA,13831041,S1,Soshum,Soshum-Humaniora,Jawa Timur,23.98,4.1700,522.70,517.30,520,515,525,B3,100,417,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp12,544,538.00","Rp14,217,143.00","Rp16,726,050.00",500000.0,16726050.0
f4240781-2dbc-4a4a-b3a4-6fec85a476bf,UNIVERSITAS BRAWIJAYA,AGROEKOTEKNOLOGI,13721026,S1,Saintek,Saintek-Teknik,Jawa Timur,17.19,5.8178,537.70,532.30,535,530,540,A2,269,1565,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f435df6b-915e-46d9-8e2a-f9fb8353cecb,POLITEKNIK NEGERI BANDUNG,TEKNIK KIMIA,24313033,D3,Saintek,Saintek-Teknik,Jawa Barat,3.59,27.8281,647.70,642.30,645,640,650,A3,64,1781,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp15,559,088.00","Rp17,633,633.00","Rp20,745,451.00",500000.0,20745451.0
f4453c1f-6451-4441-a898-1501071aba21,UNIVERSITAS NEGERI SEMARANG,TEKNIK KOMPUTER,13561027,S1,Saintek,Saintek-IT,Jawa Tengah,4.66,21.4500,637.70,632.30,635,630,640,A3,20,429,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp13,727,062.00","Rp15,557,337.00","Rp18,302,749.00",500000.0,18302749.0
f44b5591-2057-4022-9ed3-8af57e8132fa,UNIVERSITAS HASANUDDIN,TEKNIK PERTANIAN,17111011,S1,Saintek,Saintek-Teknik,Sulawesi Selatan,21.54,4.6418,522.70,517.30,520,515,525,A3,67,311,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,647,762.00","Rp16,600,797.00","Rp19,530,349.00",500000.0,19530349.0
f4521f5d-d6ab-4855-8287-3db4c6e94563,UNIVERSITAS SAMUDRA,HUKUM,11141016,S1,Soshum,Soshum-Hukum,Aceh,46.83,2.1354,492.70,487.30,490,485,495,C3,96,205,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp13,727,062.00","Rp15,557,337.00","Rp18,302,749.00",500000.0,18302749.0
f4537364-58c8-48eb-b65f-683ba4ced964,UNIVERSITAS MATARAM,PENDIDIKAN BAHASA INGGRIS,16211031,S1,Soshum,Soshum-Pendidikan,Nusa Tenggara Barat,17.86,5.6000,537.70,532.30,535,530,540,C2,125,700,PBM,PU,PPU,PK,LBE,LBI,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
